NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    1m           17Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  6m           162Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          10m          193Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          5m           140Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          5m           143Mi           
connector-runtime-9c64b54f7-46zwf                              8m           124Mi           
connector-runtime-9c64b54f7-6bncd                              8m           125Mi           
connector-runtime-9c64b54f7-78nxs                              8m           131Mi           
connector-runtime-9c64b54f7-7ms2k                              8m           126Mi           
connector-runtime-9c64b54f7-d8tnt                              8m           120Mi           
connector-runtime-9c64b54f7-hd7fb                              8m           124Mi           
connector-runtime-9c64b54f7-jdj4k                              9m           121Mi           
connector-runtime-9c64b54f7-jx8st                              9m           123Mi           
connector-runtime-9c64b54f7-ltr9h                              8m           126Mi           
connector-runtime-9c64b54f7-pmmdh                              7m           124Mi           
connector-runtime-9c64b54f7-q77bg                              8m           122Mi           
connector-runtime-9c64b54f7-qzqr8                              8m           124Mi           
connector-runtime-9c64b54f7-scbtp                              8m           126Mi           
connector-runtime-9c64b54f7-sr6n9                              9m           124Mi           
connector-runtime-9c64b54f7-wrb6q                              8m           128Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             7m           155Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  1m           38Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 4m           175Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         9m           211Mi           
workflow-worker-5586c8f57f-jzxhp                               7m           452Mi           
workflow-worker-5586c8f57f-m8l46                               6m           458Mi           
workflow-worker-5586c8f57f-mk2p2                               6m           448Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      5m           173Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   4m           134Mi           
