NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        9m           354Mi           
loki-f494d47fc-4r5m8                            6m           355Mi           
nats-0                                          3m           70Mi            
otel-collector-7c5f854bff-9cm7x                 1m           78Mi            
postgres-0                                      3m           52Mi            
postgres-shared-1                               3m           199Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           42Mi            
postgres-temporal-1                             16m          471Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           47Mi            
postgres-temporal-visibility-1                  5m           297Mi           
postgres-usage-shared-1                         3m           107Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   1m           31Mi            
prometheus-f8c575d6-hv9ns                       9m           249Mi           
promtail-g2h5r                                  14m          107Mi           
redis-0                                         5m           9Mi             
redis-1                                         5m           6Mi             
redis-2                                         5m           6Mi             
redis-3                                         5m           6Mi             
redis-4                                         5m           9Mi             
redis-5                                         6m           6Mi             
tempo-5b7d95dd77-ksbbd                          1m           324Mi           
temporal-frontend-75cc7458d4-trdjh              3m           19Mi            
temporal-frontend-75cc7458d4-zjpnp              13m          199Mi           
temporal-history-5ffbd5b457-fm4mj               4m           70Mi            
temporal-history-5ffbd5b457-ljhpc               4m           31Mi            
temporal-matching-db68d7db9-74fwz               4m           25Mi            
temporal-matching-db68d7db9-j6cnx               4m           26Mi            
temporal-ui-6d77df47d8-v228h                    1m           40Mi            
temporal-worker-7868fc57-rhfvl                  3m           22Mi            
temporal-worker-7868fc57-vk66v                  4m           53Mi            
