NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    2m           17Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  25m          246Mi           
auth-service-00001-deployment-66f6c7f79f-l96xq                 22m          245Mi           
cache-service-00001-deployment-c745d49f5-f2zss                 18m          146Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          36m          175Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          21m          146Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          16m          147Mi           
connector-runtime-5fdbcfb8b4-49dlh                             33m          124Mi           
connector-runtime-5fdbcfb8b4-58gk7                             23m          118Mi           
connector-runtime-5fdbcfb8b4-86rj5                             26m          110Mi           
connector-runtime-5fdbcfb8b4-8zffr                             29m          109Mi           
connector-runtime-5fdbcfb8b4-9m9tm                             20m          126Mi           
connector-runtime-5fdbcfb8b4-9p787                             32m          126Mi           
connector-runtime-5fdbcfb8b4-bvpws                             34m          121Mi           
connector-runtime-5fdbcfb8b4-fxcp7                             29m          125Mi           
connector-runtime-5fdbcfb8b4-jmk9z                             34m          120Mi           
connector-runtime-5fdbcfb8b4-kr2qw                             34m          118Mi           
connector-runtime-5fdbcfb8b4-kvbbm                             19m          130Mi           
connector-runtime-5fdbcfb8b4-mqm8k                             33m          120Mi           
connector-runtime-5fdbcfb8b4-nl2l4                             39m          125Mi           
connector-runtime-5fdbcfb8b4-pskwr                             27m          110Mi           
connector-runtime-5fdbcfb8b4-swnvc                             28m          118Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             10m          183Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  12m          61Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 16m          203Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         20m          202Mi           
workflow-service-worker-759b6bb446-khskx                       25m          214Mi           
workflow-service-worker-759b6bb446-pvwnw                       21m          213Mi           
workflow-worker-5586c8f57f-27hcm                               46m          369Mi           
workflow-worker-5586c8f57f-592lp                               48m          390Mi           
workflow-worker-5586c8f57f-6skvx                               45m          359Mi           
workflow-worker-5586c8f57f-dh2kq                               47m          360Mi           
workflow-worker-5586c8f57f-gmfr7                               54m          359Mi           
workflow-worker-5586c8f57f-jzxhp                               64m          489Mi           
workflow-worker-5586c8f57f-m8l46                               54m          512Mi           
workflow-worker-5586c8f57f-mk2p2                               62m          455Mi           
workflow-worker-5586c8f57f-qqfzf                               47m          363Mi           
workflow-worker-5586c8f57f-wg98l                               58m          364Mi           
workflow-worker-5586c8f57f-z4bwp                               48m          355Mi           
workflow-worker-5586c8f57f-zwcmq                               57m          338Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      13m          170Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   10m          132Mi           
