NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        39m          202Mi           
loki-f494d47fc-4r5m8                            46m          511Mi           
nats-0                                          23m          141Mi           
otel-collector-7c5f854bff-9cm7x                 14m          179Mi           
postgres-0                                      6m           54Mi            
postgres-shared-1                               44m          346Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           41Mi            
postgres-temporal-1                             254m         684Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           38Mi            
postgres-temporal-visibility-1                  50m          330Mi           
postgres-usage-shared-1                         11m          118Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   1m           29Mi            
prometheus-f8c575d6-hv9ns                       47m          358Mi           
promtail-g2h5r                                  35m          108Mi           
redis-0                                         9m           7Mi             
redis-1                                         8m           8Mi             
redis-2                                         10m          8Mi             
redis-3                                         8m           14Mi            
redis-4                                         8m           6Mi             
redis-5                                         11m          9Mi             
tempo-5b7d95dd77-ksbbd                          345m         511Mi           
temporal-frontend-75cc7458d4-trdjh              36m          59Mi            
temporal-frontend-75cc7458d4-zjpnp              59m          153Mi           
temporal-history-5c9497b4b5-8k5mf               129m         344Mi           
temporal-history-5c9497b4b5-q4gg4               85m          277Mi           
temporal-matching-db68d7db9-74fwz               33m          59Mi            
temporal-matching-db68d7db9-j6cnx               28m          61Mi            
temporal-ui-6d77df47d8-v228h                    1m           33Mi            
temporal-worker-7868fc57-rhfvl                  9m           39Mi            
temporal-worker-7868fc57-vk66v                  9m           36Mi            
