NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    8m           18Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  75m          242Mi           
auth-service-00001-deployment-66f6c7f79f-l96xq                 49m          157Mi           
cache-service-00001-deployment-c745d49f5-f2zss                 50m          151Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          58m          163Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          46m          149Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          45m          151Mi           
connector-runtime-5fdbcfb8b4-49dlh                             48m          120Mi           
connector-runtime-5fdbcfb8b4-58gk7                             52m          131Mi           
connector-runtime-5fdbcfb8b4-86rj5                             61m          115Mi           
connector-runtime-5fdbcfb8b4-8zffr                             54m          107Mi           
connector-runtime-5fdbcfb8b4-9m9tm                             74m          118Mi           
connector-runtime-5fdbcfb8b4-9p787                             48m          122Mi           
connector-runtime-5fdbcfb8b4-bvpws                             49m          123Mi           
connector-runtime-5fdbcfb8b4-fxcp7                             44m          120Mi           
connector-runtime-5fdbcfb8b4-jmk9z                             43m          116Mi           
connector-runtime-5fdbcfb8b4-kr2qw                             76m          110Mi           
connector-runtime-5fdbcfb8b4-kvbbm                             62m          118Mi           
connector-runtime-5fdbcfb8b4-mqm8k                             69m          117Mi           
connector-runtime-5fdbcfb8b4-nl2l4                             57m          119Mi           
connector-runtime-5fdbcfb8b4-pskwr                             58m          110Mi           
connector-runtime-5fdbcfb8b4-swnvc                             58m          124Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             50m          176Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  25m          51Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 31m          189Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         47m          200Mi           
workflow-service-worker-759b6bb446-8d5gk                       73m          183Mi           
workflow-service-worker-759b6bb446-dqvt9                       62m          178Mi           
workflow-service-worker-759b6bb446-jqzl9                       84m          183Mi           
workflow-service-worker-759b6bb446-k9tgk                       67m          186Mi           
workflow-service-worker-759b6bb446-khskx                       82m          191Mi           
workflow-service-worker-759b6bb446-lccq2                       67m          180Mi           
workflow-service-worker-759b6bb446-nxzrg                       73m          172Mi           
workflow-service-worker-759b6bb446-pvwnw                       99m          196Mi           
workflow-worker-5586c8f57f-27hcm                               151m         351Mi           
workflow-worker-5586c8f57f-592lp                               124m         358Mi           
workflow-worker-5586c8f57f-6skvx                               126m         323Mi           
workflow-worker-5586c8f57f-dh2kq                               150m         324Mi           
workflow-worker-5586c8f57f-gmfr7                               113m         329Mi           
workflow-worker-5586c8f57f-jzxhp                               219m         482Mi           
workflow-worker-5586c8f57f-m8l46                               183m         498Mi           
workflow-worker-5586c8f57f-mk2p2                               142m         475Mi           
workflow-worker-5586c8f57f-qqfzf                               99m          344Mi           
workflow-worker-5586c8f57f-wg98l                               132m         335Mi           
workflow-worker-5586c8f57f-z4bwp                               105m         322Mi           
workflow-worker-5586c8f57f-zwcmq                               105m         291Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      22m          166Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   30m          135Mi           
