NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        43m          203Mi           
loki-f494d47fc-4r5m8                            68m          351Mi           
nats-0                                          40m          106Mi           
otel-collector-7c5f854bff-9cm7x                 47m          165Mi           
postgres-0                                      22m          58Mi            
postgres-shared-1                               51m          352Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           42Mi            
postgres-temporal-1                             881m         574Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           17Mi            
postgres-temporal-visibility-1                  106m         352Mi           
postgres-usage-shared-1                         31m          109Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   1m           13Mi            
prometheus-f8c575d6-hv9ns                       109m         307Mi           
promtail-g2h5r                                  63m          90Mi            
redis-0                                         15m          13Mi            
redis-1                                         20m          9Mi             
redis-2                                         16m          8Mi             
redis-3                                         14m          8Mi             
redis-4                                         13m          6Mi             
redis-5                                         13m          8Mi             
temporal-frontend-75cc7458d4-trdjh              85m          81Mi            
temporal-frontend-75cc7458d4-zjpnp              107m         153Mi           
temporal-history-5ffbd5b457-fm4mj               163m         261Mi           
temporal-history-5ffbd5b457-ljhpc               626m         532Mi           
temporal-matching-db68d7db9-74fwz               119m         68Mi            
temporal-matching-db68d7db9-j6cnx               111m         70Mi            
temporal-ui-6d77df47d8-v228h                    2m           30Mi            
temporal-worker-7868fc57-rhfvl                  16m          40Mi            
temporal-worker-7868fc57-vk66v                  16m          36Mi            
