NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    1m           17Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  124m         223Mi           
auth-service-00001-deployment-66f6c7f79f-jgbsk                 12m          160Mi           
cache-service-00001-deployment-c745d49f5-65pdl                 13m          149Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          10m          175Mi           
channel-service-worker-5c9d777cc-5ww2z                         111m         169Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          6m           138Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          8m           144Mi           
connector-runtime-9c64b54f7-46zwf                              8m           128Mi           
connector-runtime-9c64b54f7-6bncd                              8m           131Mi           
connector-runtime-9c64b54f7-78nxs                              8m           128Mi           
connector-runtime-9c64b54f7-7ms2k                              8m           126Mi           
connector-runtime-9c64b54f7-d8tnt                              8m           129Mi           
connector-runtime-9c64b54f7-hd7fb                              8m           126Mi           
connector-runtime-9c64b54f7-jdj4k                              8m           127Mi           
connector-runtime-9c64b54f7-jx8st                              8m           128Mi           
connector-runtime-9c64b54f7-ltr9h                              7m           127Mi           
connector-runtime-9c64b54f7-pmmdh                              8m           125Mi           
connector-runtime-9c64b54f7-q77bg                              8m           122Mi           
connector-runtime-9c64b54f7-qzqr8                              8m           124Mi           
connector-runtime-9c64b54f7-scbtp                              8m           126Mi           
connector-runtime-9c64b54f7-sr6n9                              8m           125Mi           
connector-runtime-9c64b54f7-wrb6q                              8m           125Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             7m           157Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  1m           39Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 7m           155Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         9m           186Mi           
workflow-service-worker-759b6bb446-khskx                       6m           143Mi           
workflow-service-worker-759b6bb446-pvwnw                       6m           142Mi           
workflow-worker-5586c8f57f-jzxhp                               7m           454Mi           
workflow-worker-5586c8f57f-m8l46                               6m           457Mi           
workflow-worker-5586c8f57f-mk2p2                               6m           445Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      5m           164Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   4m           139Mi           
