NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        11m          285Mi           
loki-f494d47fc-4r5m8                            13m          359Mi           
nats-0                                          16m          86Mi            
otel-collector-7c5f854bff-9cm7x                 2m           85Mi            
postgres-0                                      5m           55Mi            
postgres-shared-1                               8m           284Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           28Mi            
postgres-temporal-1                             8m           498Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           18Mi            
postgres-temporal-visibility-1                  5m           277Mi           
postgres-usage-shared-1                         2m           85Mi            
postgres-usage-shared-pooler-794766c787-6xfpn   1m           24Mi            
prometheus-f8c575d6-hv9ns                       5m           235Mi           
promtail-g2h5r                                  12m          103Mi           
redis-0                                         6m           7Mi             
redis-1                                         5m           6Mi             
redis-2                                         6m           6Mi             
redis-3                                         6m           7Mi             
redis-4                                         6m           12Mi            
redis-5                                         5m           5Mi             
tempo-5b7d95dd77-ksbbd                          6m           351Mi           
temporal-frontend-75cc7458d4-trdjh              3m           45Mi            
temporal-frontend-75cc7458d4-zjpnp              4m           47Mi            
temporal-history-5ffbd5b457-fm4mj               4m           44Mi            
temporal-history-5ffbd5b457-ljhpc               4m           47Mi            
temporal-matching-db68d7db9-74fwz               6m           62Mi            
temporal-matching-db68d7db9-j6cnx               4m           46Mi            
temporal-ui-6d77df47d8-v228h                    1m           41Mi            
temporal-worker-7868fc57-rhfvl                  4m           39Mi            
temporal-worker-7868fc57-vk66v                  3m           38Mi            
