NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    1m           17Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  7m           172Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          11m          185Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          6m           144Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          6m           146Mi           
connector-runtime-9c64b54f7-46zwf                              8m           130Mi           
connector-runtime-9c64b54f7-6bncd                              8m           125Mi           
connector-runtime-9c64b54f7-78nxs                              9m           135Mi           
connector-runtime-9c64b54f7-7ms2k                              7m           126Mi           
connector-runtime-9c64b54f7-d8tnt                              8m           121Mi           
connector-runtime-9c64b54f7-hd7fb                              7m           126Mi           
connector-runtime-9c64b54f7-jdj4k                              10m          122Mi           
connector-runtime-9c64b54f7-jx8st                              8m           124Mi           
connector-runtime-9c64b54f7-ltr9h                              8m           126Mi           
connector-runtime-9c64b54f7-pmmdh                              8m           123Mi           
connector-runtime-9c64b54f7-q77bg                              9m           120Mi           
connector-runtime-9c64b54f7-qzqr8                              7m           124Mi           
connector-runtime-9c64b54f7-scbtp                              8m           124Mi           
connector-runtime-9c64b54f7-sr6n9                              8m           128Mi           
connector-runtime-9c64b54f7-wrb6q                              8m           124Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             3m           167Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  1m           45Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 6m           164Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         8m           196Mi           
workflow-service-worker-759b6bb446-khskx                       6m           141Mi           
workflow-service-worker-759b6bb446-pvwnw                       6m           144Mi           
workflow-worker-5586c8f57f-jzxhp                               8m           456Mi           
workflow-worker-5586c8f57f-m8l46                               6m           455Mi           
workflow-worker-5586c8f57f-mk2p2                               7m           441Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      4m           170Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   4m           134Mi           
