NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        7m           289Mi           
loki-f494d47fc-4r5m8                            5m           309Mi           
nats-0                                          3m           66Mi            
otel-collector-7c5f854bff-9cm7x                 1m           125Mi           
postgres-0                                      4m           52Mi            
postgres-shared-1                               4m           202Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           39Mi            
postgres-temporal-1                             7m           471Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           49Mi            
postgres-temporal-visibility-1                  7m           288Mi           
postgres-usage-shared-1                         1m           98Mi            
postgres-usage-shared-pooler-794766c787-6xfpn   1m           48Mi            
prometheus-f8c575d6-hv9ns                       5m           271Mi           
promtail-g2h5r                                  12m          97Mi            
redis-0                                         5m           6Mi             
redis-1                                         6m           6Mi             
redis-2                                         6m           6Mi             
redis-3                                         6m           7Mi             
redis-4                                         6m           11Mi            
redis-5                                         5m           5Mi             
tempo-5b7d95dd77-ksbbd                          2m           183Mi           
temporal-frontend-75cc7458d4-trdjh              3m           47Mi            
temporal-frontend-75cc7458d4-zjpnp              3m           46Mi            
temporal-history-5ffbd5b457-fm4mj               4m           47Mi            
temporal-history-5ffbd5b457-ljhpc               4m           49Mi            
temporal-matching-db68d7db9-74fwz               4m           39Mi            
temporal-matching-db68d7db9-j6cnx               4m           43Mi            
temporal-ui-6d77df47d8-v228h                    1m           36Mi            
temporal-worker-7868fc57-rhfvl                  3m           45Mi            
temporal-worker-7868fc57-vk66v                  3m           43Mi            
