NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    1m           18Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  13m          242Mi           
auth-service-00001-deployment-66f6c7f79f-l96xq                 13m          160Mi           
cache-service-00001-deployment-c745d49f5-f2zss                 12m          150Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          18m          182Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          7m           142Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          11m          157Mi           
connector-runtime-5fdbcfb8b4-49dlh                             13m          135Mi           
connector-runtime-5fdbcfb8b4-58js8                             17m          117Mi           
connector-runtime-5fdbcfb8b4-64zps                             17m          116Mi           
connector-runtime-5fdbcfb8b4-6bf72                             16m          115Mi           
connector-runtime-5fdbcfb8b4-bvpws                             16m          128Mi           
connector-runtime-5fdbcfb8b4-fxcp7                             24m          121Mi           
connector-runtime-5fdbcfb8b4-h6sjf                             18m          113Mi           
connector-runtime-5fdbcfb8b4-jcpcw                             18m          116Mi           
connector-runtime-5fdbcfb8b4-jx5cf                             14m          119Mi           
connector-runtime-5fdbcfb8b4-nl2l4                             21m          124Mi           
connector-runtime-5fdbcfb8b4-pqm9z                             16m          117Mi           
connector-runtime-5fdbcfb8b4-pskwr                             13m          121Mi           
connector-runtime-5fdbcfb8b4-qmd6c                             17m          115Mi           
connector-runtime-5fdbcfb8b4-qw6qv                             15m          116Mi           
connector-runtime-5fdbcfb8b4-wxbtq                             16m          119Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             10m          171Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  9m           64Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 9m           175Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         15m          190Mi           
workflow-service-worker-759b6bb446-khskx                       15m          192Mi           
workflow-service-worker-759b6bb446-pvwnw                       13m          205Mi           
workflow-worker-5586c8f57f-26bpr                               36m          317Mi           
workflow-worker-5586c8f57f-2994s                               34m          295Mi           
workflow-worker-5586c8f57f-7fwdx                               44m          310Mi           
workflow-worker-5586c8f57f-7mvn6                               33m          310Mi           
workflow-worker-5586c8f57f-cmxmv                               47m          287Mi           
workflow-worker-5586c8f57f-jrk8h                               27m          313Mi           
workflow-worker-5586c8f57f-jzxhp                               31m          533Mi           
workflow-worker-5586c8f57f-lx4lj                               40m          288Mi           
workflow-worker-5586c8f57f-m6j4l                               39m          286Mi           
workflow-worker-5586c8f57f-m8l46                               60m          517Mi           
workflow-worker-5586c8f57f-mk2p2                               42m          492Mi           
workflow-worker-5586c8f57f-ngxhf                               24m          290Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      4m           177Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   5m           131Mi           
