NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        19m          258Mi           
loki-f494d47fc-4r5m8                            14m          306Mi           
nats-0                                          14m          105Mi           
otel-collector-7c5f854bff-9cm7x                 7m           118Mi           
postgres-0                                      5m           55Mi            
postgres-shared-1                               50m          405Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           43Mi            
postgres-temporal-1                             145m         591Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           43Mi            
postgres-temporal-visibility-1                  35m          354Mi           
postgres-usage-shared-1                         9m           111Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   1m           15Mi            
prometheus-f8c575d6-hv9ns                       23m          264Mi           
promtail-g2h5r                                  21m          89Mi            
redis-0                                         7m           7Mi             
redis-1                                         7m           8Mi             
redis-2                                         7m           9Mi             
redis-3                                         7m           14Mi            
redis-4                                         6m           6Mi             
redis-5                                         7m           8Mi             
tempo-5b7d95dd77-ksbbd                          9m           364Mi           
temporal-frontend-75cc7458d4-trdjh              23m          63Mi            
temporal-frontend-75cc7458d4-zjpnp              20m          135Mi           
temporal-history-5c9497b4b5-8k5mf               131m         440Mi           
temporal-history-5c9497b4b5-q4gg4               25m          364Mi           
temporal-matching-db68d7db9-74fwz               14m          68Mi            
temporal-matching-db68d7db9-j6cnx               14m          60Mi            
temporal-ui-6d77df47d8-v228h                    1m           31Mi            
temporal-worker-7868fc57-rhfvl                  5m           43Mi            
temporal-worker-7868fc57-vk66v                  5m           36Mi            
