NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    11m          18Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  301m         264Mi           
audit-service-worker-68b97fc746-t7lvl                          237m         164Mi           
auth-service-00001-deployment-66f6c7f79f-l96xq                 86m          151Mi           
cache-service-00001-deployment-c745d49f5-f2zss                 62m          149Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          90m          161Mi           
channel-service-worker-5c9d777cc-twh79                         302m         181Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          49m          143Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          55m          146Mi           
connector-runtime-5fdbcfb8b4-49dlh                             74m          122Mi           
connector-runtime-5fdbcfb8b4-58js8                             107m         113Mi           
connector-runtime-5fdbcfb8b4-64zps                             94m          103Mi           
connector-runtime-5fdbcfb8b4-6bf72                             93m          104Mi           
connector-runtime-5fdbcfb8b4-bvpws                             80m          123Mi           
connector-runtime-5fdbcfb8b4-fxcp7                             97m          123Mi           
connector-runtime-5fdbcfb8b4-h6sjf                             90m          105Mi           
connector-runtime-5fdbcfb8b4-jcpcw                             73m          105Mi           
connector-runtime-5fdbcfb8b4-jx5cf                             87m          109Mi           
connector-runtime-5fdbcfb8b4-nl2l4                             102m         124Mi           
connector-runtime-5fdbcfb8b4-pqm9z                             88m          104Mi           
connector-runtime-5fdbcfb8b4-pskwr                             85m          115Mi           
connector-runtime-5fdbcfb8b4-qmd6c                             98m          105Mi           
connector-runtime-5fdbcfb8b4-qw6qv                             116m         106Mi           
connector-runtime-5fdbcfb8b4-wxbtq                             92m          104Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             47m          170Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  47m          86Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 62m          174Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         61m          190Mi           
workflow-service-worker-759b6bb446-2qwnh                       111m         158Mi           
workflow-service-worker-759b6bb446-khskx                       88m          212Mi           
workflow-service-worker-759b6bb446-pvwnw                       104m         207Mi           
workflow-service-worker-759b6bb446-pwn4w                       118m         143Mi           
workflow-worker-5586c8f57f-26bpr                               162m         262Mi           
workflow-worker-5586c8f57f-2994s                               174m         262Mi           
workflow-worker-5586c8f57f-7fwdx                               173m         264Mi           
workflow-worker-5586c8f57f-7mvn6                               199m         264Mi           
workflow-worker-5586c8f57f-cmxmv                               159m         262Mi           
workflow-worker-5586c8f57f-jrk8h                               183m         266Mi           
workflow-worker-5586c8f57f-jzxhp                               175m         490Mi           
workflow-worker-5586c8f57f-lx4lj                               159m         257Mi           
workflow-worker-5586c8f57f-m6j4l                               175m         257Mi           
workflow-worker-5586c8f57f-m8l46                               187m         509Mi           
workflow-worker-5586c8f57f-mk2p2                               153m         459Mi           
workflow-worker-5586c8f57f-ngxhf                               161m         276Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      26m          173Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   34m          133Mi           
