NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        44m          263Mi           
loki-f494d47fc-4r5m8                            44m          331Mi           
nats-0                                          400m         161Mi           
otel-collector-7c5f854bff-9cm7x                 44m          135Mi           
postgres-0                                      48m          63Mi            
postgres-shared-1                               131m         427Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           27Mi            
postgres-temporal-1                             787m         553Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       37m          43Mi            
postgres-temporal-visibility-1                  482m         535Mi           
postgres-usage-shared-1                         46m          115Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   1m           25Mi            
prometheus-f8c575d6-hv9ns                       121m         289Mi           
promtail-g2h5r                                  66m          85Mi            
redis-0                                         16m          11Mi            
redis-1                                         23m          9Mi             
redis-2                                         19m          9Mi             
redis-3                                         16m          8Mi             
redis-4                                         20m          9Mi             
redis-5                                         20m          8Mi             
tempo-5b7d95dd77-ksbbd                          63m          182Mi           
temporal-frontend-75cc7458d4-trdjh              86m          62Mi            
temporal-frontend-75cc7458d4-zjpnp              89m          65Mi            
temporal-history-5c9497b4b5-8k5mf               442m         341Mi           
temporal-history-5c9497b4b5-q4gg4               384m         299Mi           
temporal-matching-db68d7db9-74fwz               122m         60Mi            
temporal-matching-db68d7db9-j6cnx               110m         63Mi            
temporal-ui-6d77df47d8-v228h                    3m           20Mi            
temporal-worker-7868fc57-rhfvl                  26m          42Mi            
temporal-worker-7868fc57-vk66v                  20m          39Mi            
