NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    2m           18Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  23m          256Mi           
auth-service-00001-deployment-66f6c7f79f-6879b                 38m          154Mi           
cache-service-00001-deployment-c745d49f5-f2zss                 20m          159Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          27m          165Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          20m          143Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          15m          148Mi           
connector-runtime-5fdbcfb8b4-49dlh                             28m          126Mi           
connector-runtime-5fdbcfb8b4-bvpws                             25m          127Mi           
connector-runtime-5fdbcfb8b4-c4gtr                             55m          131Mi           
connector-runtime-5fdbcfb8b4-c8j96                             23m          132Mi           
connector-runtime-5fdbcfb8b4-f7gz9                             17m          127Mi           
connector-runtime-5fdbcfb8b4-fxcp7                             20m          126Mi           
connector-runtime-5fdbcfb8b4-fxw4z                             20m          111Mi           
connector-runtime-5fdbcfb8b4-l4qhq                             24m          131Mi           
connector-runtime-5fdbcfb8b4-lm68h                             30m          129Mi           
connector-runtime-5fdbcfb8b4-n7cv7                             21m          130Mi           
connector-runtime-5fdbcfb8b4-nl2l4                             24m          125Mi           
connector-runtime-5fdbcfb8b4-pkgkn                             31m          114Mi           
connector-runtime-5fdbcfb8b4-pskwr                             23m          117Mi           
connector-runtime-5fdbcfb8b4-spq9x                             26m          121Mi           
connector-runtime-5fdbcfb8b4-trbw6                             23m          127Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             15m          197Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  7m           76Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 26m          189Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         16m          200Mi           
workflow-service-worker-759b6bb446-6cm5w                       31m          180Mi           
workflow-service-worker-759b6bb446-khskx                       16m          227Mi           
workflow-service-worker-759b6bb446-pvwnw                       16m          190Mi           
workflow-worker-5586c8f57f-9phz8                               26m          342Mi           
workflow-worker-5586c8f57f-jj7z4                               25m          341Mi           
workflow-worker-5586c8f57f-jzxhp                               29m          550Mi           
workflow-worker-5586c8f57f-m8l46                               26m          557Mi           
workflow-worker-5586c8f57f-mk2p2                               33m          492Mi           
workflow-worker-5586c8f57f-x9ltt                               33m          363Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      13m          173Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   12m          131Mi           
