NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        32m          186Mi           
loki-f494d47fc-4r5m8                            33m          458Mi           
nats-0                                          14m          121Mi           
otel-collector-7c5f854bff-9cm7x                 38m          159Mi           
postgres-0                                      9m           53Mi            
postgres-shared-1                               25m          351Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           15Mi            
postgres-temporal-1                             79m          530Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           14Mi            
postgres-temporal-visibility-1                  24m          349Mi           
postgres-usage-shared-1                         21m          115Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   1m           60Mi            
prometheus-f8c575d6-hv9ns                       60m          312Mi           
promtail-g2h5r                                  65m          127Mi           
redis-0                                         10m          9Mi             
redis-1                                         15m          8Mi             
redis-2                                         10m          9Mi             
redis-3                                         10m          8Mi             
redis-4                                         12m          10Mi            
redis-5                                         8m           8Mi             
tempo-5b7d95dd77-ksbbd                          498m         511Mi           
temporal-frontend-75cc7458d4-trdjh              13m          60Mi            
temporal-frontend-75cc7458d4-zjpnp              21m          145Mi           
temporal-history-5c9497b4b5-8k5mf               38m          867Mi           
temporal-history-5c9497b4b5-q4gg4               49m          950Mi           
temporal-matching-db68d7db9-74fwz               16m          61Mi            
temporal-matching-db68d7db9-j6cnx               13m          60Mi            
temporal-ui-6d77df47d8-v228h                    2m           21Mi            
temporal-worker-7868fc57-rhfvl                  9m           39Mi            
temporal-worker-7868fc57-vk66v                  9m           36Mi            
