NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    4m           18Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  197m         234Mi           
audit-service-worker-68b97fc746-sjktz                          141m         163Mi           
auth-service-00001-deployment-66f6c7f79f-l96xq                 48m          166Mi           
cache-service-00001-deployment-c745d49f5-f2zss                 26m          154Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          44m          177Mi           
channel-service-worker-5c9d777cc-ft8zg                         162m         192Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          32m          150Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          23m          147Mi           
connector-runtime-5fdbcfb8b4-49dlh                             45m          130Mi           
connector-runtime-5fdbcfb8b4-96brl                             55m          116Mi           
connector-runtime-5fdbcfb8b4-b9g9v                             44m          116Mi           
connector-runtime-5fdbcfb8b4-bb4gn                             59m          115Mi           
connector-runtime-5fdbcfb8b4-bvpws                             43m          136Mi           
connector-runtime-5fdbcfb8b4-fxcp7                             50m          124Mi           
connector-runtime-5fdbcfb8b4-j9gnp                             66m          119Mi           
connector-runtime-5fdbcfb8b4-lbfhf                             56m          119Mi           
connector-runtime-5fdbcfb8b4-m67fc                             70m          115Mi           
connector-runtime-5fdbcfb8b4-ngcch                             50m          117Mi           
connector-runtime-5fdbcfb8b4-nl2l4                             46m          125Mi           
connector-runtime-5fdbcfb8b4-pskwr                             60m          118Mi           
connector-runtime-5fdbcfb8b4-spq9x                             43m          121Mi           
connector-runtime-5fdbcfb8b4-tvdk2                             63m          118Mi           
connector-runtime-5fdbcfb8b4-v2mv2                             48m          115Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             38m          173Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  24m          81Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 24m          175Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         23m          193Mi           
workflow-service-worker-759b6bb446-bm5zd                       67m          165Mi           
workflow-service-worker-759b6bb446-bzscp                       78m          153Mi           
workflow-service-worker-759b6bb446-khskx                       66m          194Mi           
workflow-service-worker-759b6bb446-kl9fd                       59m          157Mi           
workflow-service-worker-759b6bb446-pvwnw                       62m          200Mi           
workflow-service-worker-759b6bb446-rnvsh                       64m          162Mi           
workflow-service-worker-759b6bb446-v7565                       74m          157Mi           
workflow-service-worker-759b6bb446-x5sv9                       71m          152Mi           
workflow-worker-5586c8f57f-gfs6s                               136m         303Mi           
workflow-worker-5586c8f57f-gp4v9                               160m         315Mi           
workflow-worker-5586c8f57f-jzxhp                               310m         542Mi           
workflow-worker-5586c8f57f-lrfd8                               148m         315Mi           
workflow-worker-5586c8f57f-m8l46                               229m         527Mi           
workflow-worker-5586c8f57f-mk2p2                               174m         500Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      10m          185Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   24m          134Mi           
