NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        27m          211Mi           
loki-f494d47fc-4r5m8                            25m          414Mi           
nats-0                                          81m          146Mi           
otel-collector-7c5f854bff-9cm7x                 42m          145Mi           
postgres-0                                      24m          64Mi            
postgres-shared-1                               147m         460Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           41Mi            
postgres-temporal-1                             956m         582Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           44Mi            
postgres-temporal-visibility-1                  271m         330Mi           
postgres-usage-shared-1                         27m          104Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   1m           26Mi            
prometheus-f8c575d6-hv9ns                       53m          285Mi           
promtail-g2h5r                                  38m          93Mi            
redis-0                                         12m          7Mi             
redis-1                                         14m          9Mi             
redis-2                                         14m          10Mi            
redis-3                                         14m          12Mi            
redis-4                                         11m          6Mi             
redis-5                                         14m          8Mi             
tempo-5b7d95dd77-ksbbd                          28m          163Mi           
temporal-frontend-75cc7458d4-trdjh              32m          60Mi            
temporal-frontend-75cc7458d4-zjpnp              135m         140Mi           
temporal-history-5c9497b4b5-8k5mf               524m         539Mi           
temporal-history-5c9497b4b5-q4gg4               526m         515Mi           
temporal-matching-db68d7db9-74fwz               138m         66Mi            
temporal-matching-db68d7db9-j6cnx               130m         68Mi            
temporal-ui-6d77df47d8-v228h                    1m           13Mi            
temporal-worker-7868fc57-rhfvl                  16m          42Mi            
temporal-worker-7868fc57-vk66v                  10m          36Mi            
