NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    3m           18Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  36m          218Mi           
auth-service-00001-deployment-66f6c7f79f-6879b                 57m          162Mi           
cache-service-00001-deployment-c745d49f5-f2zss                 26m          153Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          55m          188Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          30m          142Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          31m          146Mi           
connector-runtime-5fdbcfb8b4-49dlh                             49m          124Mi           
connector-runtime-5fdbcfb8b4-96brl                             53m          119Mi           
connector-runtime-5fdbcfb8b4-b9g9v                             42m          118Mi           
connector-runtime-5fdbcfb8b4-bb4gn                             65m          117Mi           
connector-runtime-5fdbcfb8b4-bvpws                             51m          124Mi           
connector-runtime-5fdbcfb8b4-fxcp7                             66m          126Mi           
connector-runtime-5fdbcfb8b4-j9gnp                             68m          117Mi           
connector-runtime-5fdbcfb8b4-lbfhf                             50m          121Mi           
connector-runtime-5fdbcfb8b4-m67fc                             64m          115Mi           
connector-runtime-5fdbcfb8b4-ngcch                             51m          118Mi           
connector-runtime-5fdbcfb8b4-nl2l4                             48m          129Mi           
connector-runtime-5fdbcfb8b4-pskwr                             51m          125Mi           
connector-runtime-5fdbcfb8b4-spq9x                             39m          119Mi           
connector-runtime-5fdbcfb8b4-tvdk2                             48m          121Mi           
connector-runtime-5fdbcfb8b4-v2mv2                             77m          115Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             30m          176Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  26m          81Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 23m          190Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         25m          195Mi           
workflow-service-worker-759b6bb446-bm5zd                       62m          206Mi           
workflow-service-worker-759b6bb446-bzscp                       54m          209Mi           
workflow-service-worker-759b6bb446-khskx                       49m          219Mi           
workflow-service-worker-759b6bb446-pvwnw                       68m          200Mi           
workflow-service-worker-759b6bb446-v7565                       44m          222Mi           
workflow-worker-5586c8f57f-gfs6s                               241m         388Mi           
workflow-worker-5586c8f57f-gp4v9                               186m         395Mi           
workflow-worker-5586c8f57f-jzxhp                               210m         532Mi           
workflow-worker-5586c8f57f-lrfd8                               247m         396Mi           
workflow-worker-5586c8f57f-m8l46                               189m         530Mi           
workflow-worker-5586c8f57f-mk2p2                               147m         496Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      10m          196Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   19m          132Mi           
