NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        46m          236Mi           
loki-f494d47fc-4r5m8                            172m         511Mi           
nats-0                                          31m          97Mi            
otel-collector-7c5f854bff-9cm7x                 21m          109Mi           
postgres-0                                      20m          55Mi            
postgres-shared-1                               57m          392Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         5m           29Mi            
postgres-temporal-1                             927m         555Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       3m           34Mi            
postgres-temporal-visibility-1                  167m         421Mi           
postgres-usage-shared-1                         25m          101Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   4m           26Mi            
prometheus-f8c575d6-hv9ns                       64m          304Mi           
promtail-g2h5r                                  81m          92Mi            
redis-0                                         14m          14Mi            
redis-1                                         15m          8Mi             
redis-2                                         14m          8Mi             
redis-3                                         13m          8Mi             
redis-4                                         12m          6Mi             
redis-5                                         12m          8Mi             
tempo-5b7d95dd77-ksbbd                          13m          344Mi           
temporal-frontend-75cc7458d4-trdjh              87m          77Mi            
temporal-frontend-75cc7458d4-zjpnp              86m          139Mi           
temporal-history-5c9497b4b5-8k5mf               341m         601Mi           
temporal-history-5c9497b4b5-q4gg4               609m         699Mi           
temporal-matching-db68d7db9-74fwz               124m         64Mi            
temporal-matching-db68d7db9-j6cnx               106m         68Mi            
temporal-ui-6d77df47d8-v228h                    4m           22Mi            
temporal-worker-7868fc57-rhfvl                  16m          40Mi            
temporal-worker-7868fc57-vk66v                  11m          42Mi            
