NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    1m           18Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  16m          217Mi           
auth-service-00001-deployment-66f6c7f79f-l96xq                 13m          167Mi           
cache-service-00001-deployment-c745d49f5-f2zss                 12m          152Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          18m          187Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          10m          141Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          9m           147Mi           
connector-runtime-5fdbcfb8b4-49dlh                             17m          122Mi           
connector-runtime-5fdbcfb8b4-96brl                             13m          127Mi           
connector-runtime-5fdbcfb8b4-b9g9v                             17m          130Mi           
connector-runtime-5fdbcfb8b4-bb4gn                             15m          126Mi           
connector-runtime-5fdbcfb8b4-bvpws                             15m          127Mi           
connector-runtime-5fdbcfb8b4-fxcp7                             14m          125Mi           
connector-runtime-5fdbcfb8b4-j9gnp                             14m          131Mi           
connector-runtime-5fdbcfb8b4-lbfhf                             18m          128Mi           
connector-runtime-5fdbcfb8b4-m67fc                             13m          126Mi           
connector-runtime-5fdbcfb8b4-ngcch                             15m          130Mi           
connector-runtime-5fdbcfb8b4-nl2l4                             11m          131Mi           
connector-runtime-5fdbcfb8b4-pskwr                             14m          122Mi           
connector-runtime-5fdbcfb8b4-spq9x                             14m          128Mi           
connector-runtime-5fdbcfb8b4-tvdk2                             15m          135Mi           
connector-runtime-5fdbcfb8b4-v2mv2                             16m          132Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             18m          181Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  5m           60Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 9m           181Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         9m           192Mi           
workflow-service-worker-759b6bb446-j5qsl                       14m          191Mi           
workflow-service-worker-759b6bb446-khskx                       7m           203Mi           
workflow-service-worker-759b6bb446-pvwnw                       19m          209Mi           
workflow-worker-5586c8f57f-gfs6s                               22m          316Mi           
workflow-worker-5586c8f57f-gp4v9                               17m          321Mi           
workflow-worker-5586c8f57f-jzxhp                               17m          526Mi           
workflow-worker-5586c8f57f-lrfd8                               31m          326Mi           
workflow-worker-5586c8f57f-m8l46                               23m          527Mi           
workflow-worker-5586c8f57f-mk2p2                               14m          492Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      4m           189Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   6m           132Mi           
