NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        10m          224Mi           
loki-f494d47fc-4r5m8                            37m          459Mi           
nats-0                                          10m          134Mi           
otel-collector-7c5f854bff-9cm7x                 8m           120Mi           
postgres-0                                      10m          54Mi            
postgres-shared-1                               14m          387Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           35Mi            
postgres-temporal-1                             68m          545Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           41Mi            
postgres-temporal-visibility-1                  20m          346Mi           
postgres-usage-shared-1                         7m           100Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   1m           44Mi            
prometheus-f8c575d6-hv9ns                       23m          271Mi           
promtail-g2h5r                                  125m         126Mi           
redis-0                                         5m           13Mi            
redis-1                                         6m           9Mi             
redis-2                                         9m           8Mi             
redis-3                                         7m           8Mi             
redis-4                                         8m           6Mi             
redis-5                                         7m           8Mi             
tempo-5b7d95dd77-ksbbd                          48m          511Mi           
temporal-frontend-75cc7458d4-trdjh              9m           66Mi            
temporal-frontend-75cc7458d4-zjpnp              13m          141Mi           
temporal-history-5c9497b4b5-8k5mf               45m          533Mi           
temporal-history-5c9497b4b5-q4gg4               19m          468Mi           
temporal-matching-db68d7db9-74fwz               11m          61Mi            
temporal-matching-db68d7db9-j6cnx               9m           60Mi            
temporal-ui-6d77df47d8-v228h                    1m           22Mi            
temporal-worker-7868fc57-rhfvl                  5m           39Mi            
temporal-worker-7868fc57-vk66v                  5m           36Mi            
