NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        18m          288Mi           
loki-f494d47fc-4r5m8                            19m          426Mi           
nats-0                                          8m           65Mi            
otel-collector-7c5f854bff-9cm7x                 2m           128Mi           
postgres-0                                      6m           57Mi            
postgres-shared-1                               3m           304Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           31Mi            
postgres-temporal-1                             14m          517Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           17Mi            
postgres-temporal-visibility-1                  5m           292Mi           
postgres-usage-shared-1                         5m           93Mi            
postgres-usage-shared-pooler-794766c787-6xfpn   1m           19Mi            
prometheus-f8c575d6-hv9ns                       16m          240Mi           
promtail-g2h5r                                  18m          99Mi            
redis-0                                         7m           6Mi             
redis-1                                         7m           6Mi             
redis-2                                         7m           11Mi            
redis-3                                         6m           7Mi             
redis-4                                         8m           5Mi             
redis-5                                         8m           6Mi             
tempo-5b7d95dd77-ksbbd                          4m           325Mi           
temporal-frontend-75cc7458d4-trdjh              5m           43Mi            
temporal-frontend-75cc7458d4-zjpnp              6m           39Mi            
temporal-history-5ffbd5b457-fm4mj               4m           47Mi            
temporal-history-5ffbd5b457-ljhpc               7m           72Mi            
temporal-matching-db68d7db9-74fwz               4m           45Mi            
temporal-matching-db68d7db9-j6cnx               8m           51Mi            
temporal-ui-6d77df47d8-v228h                    1m           28Mi            
temporal-worker-7868fc57-rhfvl                  4m           39Mi            
temporal-worker-7868fc57-vk66v                  4m           37Mi            
