NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    1m           30Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  5m           165Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          10m          183Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          5m           144Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          5m           144Mi           
connector-runtime-9c64b54f7-46zwf                              8m           125Mi           
connector-runtime-9c64b54f7-6bncd                              8m           125Mi           
connector-runtime-9c64b54f7-78nxs                              8m           133Mi           
connector-runtime-9c64b54f7-7ms2k                              8m           126Mi           
connector-runtime-9c64b54f7-d8tnt                              9m           120Mi           
connector-runtime-9c64b54f7-hd7fb                              8m           126Mi           
connector-runtime-9c64b54f7-jdj4k                              7m           125Mi           
connector-runtime-9c64b54f7-jx8st                              8m           124Mi           
connector-runtime-9c64b54f7-ltr9h                              9m           126Mi           
connector-runtime-9c64b54f7-pmmdh                              7m           124Mi           
connector-runtime-9c64b54f7-q77bg                              9m           119Mi           
connector-runtime-9c64b54f7-qzqr8                              8m           124Mi           
connector-runtime-9c64b54f7-scbtp                              8m           124Mi           
connector-runtime-9c64b54f7-sr6n9                              14m          132Mi           
connector-runtime-9c64b54f7-wrb6q                              7m           127Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             7m           160Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  1m           31Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 7m           166Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         9m           193Mi           
workflow-service-worker-759b6bb446-khskx                       7m           146Mi           
workflow-service-worker-759b6bb446-pvwnw                       7m           148Mi           
workflow-worker-5586c8f57f-jzxhp                               7m           454Mi           
workflow-worker-5586c8f57f-m8l46                               6m           455Mi           
workflow-worker-5586c8f57f-mk2p2                               8m           440Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      4m           169Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   4m           134Mi           
