NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        5m           307Mi           
loki-f494d47fc-4r5m8                            7m           290Mi           
nats-0                                          3m           65Mi            
otel-collector-7c5f854bff-9cm7x                 3m           126Mi           
postgres-0                                      3m           55Mi            
postgres-shared-1                               3m           199Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           28Mi            
postgres-temporal-1                             12m          480Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           31Mi            
postgres-temporal-visibility-1                  4m           289Mi           
postgres-usage-shared-1                         2m           115Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   1m           47Mi            
prometheus-f8c575d6-hv9ns                       4m           251Mi           
promtail-g2h5r                                  14m          96Mi            
redis-0                                         6m           10Mi            
redis-1                                         6m           6Mi             
redis-2                                         5m           6Mi             
redis-3                                         5m           7Mi             
redis-4                                         5m           6Mi             
redis-5                                         5m           9Mi             
tempo-5b7d95dd77-ksbbd                          6m           319Mi           
temporal-frontend-75cc7458d4-trdjh              4m           38Mi            
temporal-frontend-75cc7458d4-zjpnp              3m           42Mi            
temporal-history-5ffbd5b457-fm4mj               3m           74Mi            
temporal-history-5ffbd5b457-ljhpc               4m           43Mi            
temporal-matching-db68d7db9-74fwz               3m           41Mi            
temporal-matching-db68d7db9-j6cnx               3m           41Mi            
temporal-ui-6d77df47d8-v228h                    1m           38Mi            
temporal-worker-7868fc57-rhfvl                  4m           46Mi            
temporal-worker-7868fc57-vk66v                  3m           33Mi            
