NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    1m           17Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  12m          208Mi           
auth-service-00001-deployment-66f6c7f79f-l96xq                 14m          158Mi           
cache-service-00001-deployment-c745d49f5-f2zss                 9m           147Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          12m          158Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          6m           144Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          6m           146Mi           
connector-runtime-5fdbcfb8b4-49dlh                             10m          121Mi           
connector-runtime-5fdbcfb8b4-bvpws                             10m          125Mi           
connector-runtime-5fdbcfb8b4-fxcp7                             11m          121Mi           
connector-runtime-5fdbcfb8b4-nl2l4                             9m           124Mi           
connector-runtime-5fdbcfb8b4-pskwr                             10m          119Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             8m           176Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  2m           46Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 9m           173Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         11m          200Mi           
workflow-service-worker-759b6bb446-khskx                       10m          201Mi           
workflow-service-worker-759b6bb446-pvwnw                       10m          196Mi           
workflow-worker-5586c8f57f-jzxhp                               8m           486Mi           
workflow-worker-5586c8f57f-m8l46                               8m           504Mi           
workflow-worker-5586c8f57f-mk2p2                               7m           453Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      5m           181Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   5m           133Mi           
