NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        15m          263Mi           
loki-f494d47fc-4r5m8                            23m          273Mi           
nats-0                                          7m           75Mi            
otel-collector-7c5f854bff-9cm7x                 6m           141Mi           
postgres-0                                      3m           55Mi            
postgres-shared-1                               4m           324Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           42Mi            
postgres-temporal-1                             15m          392Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           33Mi            
postgres-temporal-visibility-1                  5m           283Mi           
postgres-usage-shared-1                         7m           100Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   1m           40Mi            
prometheus-f8c575d6-hv9ns                       9m           256Mi           
promtail-g2h5r                                  14m          95Mi            
redis-0                                         6m           10Mi            
redis-1                                         6m           8Mi             
redis-2                                         6m           8Mi             
redis-3                                         6m           8Mi             
redis-4                                         6m           7Mi             
redis-5                                         6m           14Mi            
tempo-5b7d95dd77-ksbbd                          7m           199Mi           
temporal-frontend-75cc7458d4-trdjh              7m           57Mi            
temporal-frontend-75cc7458d4-zjpnp              6m           233Mi           
temporal-history-5c9497b4b5-8k5mf               7m           297Mi           
temporal-history-5c9497b4b5-q4gg4               7m           257Mi           
temporal-matching-db68d7db9-74fwz               6m           55Mi            
temporal-matching-db68d7db9-j6cnx               5m           85Mi            
temporal-ui-6d77df47d8-v228h                    1m           31Mi            
temporal-worker-7868fc57-rhfvl                  4m           42Mi            
temporal-worker-7868fc57-vk66v                  5m           36Mi            
