NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    1m           17Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  7m           164Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          11m          196Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          6m           139Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          6m           150Mi           
connector-runtime-9c64b54f7-46zwf                              8m           124Mi           
connector-runtime-9c64b54f7-6bncd                              9m           126Mi           
connector-runtime-9c64b54f7-78nxs                              9m           123Mi           
connector-runtime-9c64b54f7-7ms2k                              14m          126Mi           
connector-runtime-9c64b54f7-d8tnt                              9m           119Mi           
connector-runtime-9c64b54f7-hd7fb                              9m           124Mi           
connector-runtime-9c64b54f7-jdj4k                              9m           121Mi           
connector-runtime-9c64b54f7-jx8st                              11m          123Mi           
connector-runtime-9c64b54f7-ltr9h                              9m           126Mi           
connector-runtime-9c64b54f7-pmmdh                              8m           124Mi           
connector-runtime-9c64b54f7-q77bg                              9m           132Mi           
connector-runtime-9c64b54f7-qzqr8                              10m          123Mi           
connector-runtime-9c64b54f7-scbtp                              9m           125Mi           
connector-runtime-9c64b54f7-sr6n9                              10m          128Mi           
connector-runtime-9c64b54f7-wrb6q                              8m           125Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             9m           155Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  2m           36Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 9m           158Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         10m          184Mi           
workflow-service-worker-759b6bb446-b96cl                       10m          219Mi           
workflow-service-worker-759b6bb446-mgbrh                       9m           191Mi           
workflow-worker-5586c8f57f-jzxhp                               8m           452Mi           
workflow-worker-5586c8f57f-m8l46                               7m           453Mi           
workflow-worker-5586c8f57f-mk2p2                               8m           438Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      6m           166Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   5m           133Mi           
