NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        7m           269Mi           
loki-f494d47fc-4r5m8                            13m          318Mi           
nats-0                                          4m           65Mi            
otel-collector-7c5f854bff-9cm7x                 9m           128Mi           
postgres-0                                      4m           52Mi            
postgres-shared-1                               4m           171Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           20Mi            
postgres-temporal-1                             19m          592Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           29Mi            
postgres-temporal-visibility-1                  5m           385Mi           
postgres-usage-shared-1                         4m           112Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   9m           48Mi            
prometheus-f8c575d6-hv9ns                       24m          274Mi           
promtail-g2h5r                                  14m          88Mi            
redis-0                                         7m           9Mi             
redis-1                                         6m           6Mi             
redis-2                                         5m           6Mi             
redis-3                                         5m           7Mi             
redis-4                                         5m           9Mi             
redis-5                                         6m           7Mi             
tempo-5b7d95dd77-ksbbd                          3m           317Mi           
temporal-frontend-75cc7458d4-kqjx9              4m           48Mi            
temporal-frontend-75cc7458d4-lprqm              5m           54Mi            
temporal-history-5ffbd5b457-4jx52               6m           747Mi           
temporal-history-5ffbd5b457-ghh52               6m           490Mi           
temporal-history-5ffbd5b457-pd97n               6m           790Mi           
temporal-matching-db68d7db9-pnflx               6m           79Mi            
temporal-matching-db68d7db9-zwzjb               7m           54Mi            
temporal-ui-6d77df47d8-v228h                    1m           21Mi            
temporal-worker-7868fc57-dfjbn                  5m           42Mi            
temporal-worker-7868fc57-gnqb8                  4m           43Mi            
