NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    2m           18Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  9m           203Mi           
auth-service-00001-deployment-66f6c7f79f-6879b                 10m          161Mi           
cache-service-00001-deployment-c745d49f5-f2zss                 8m           155Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          8m           231Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          7m           148Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          6m           150Mi           
connector-runtime-5fdbcfb8b4-49dlh                             10m          122Mi           
connector-runtime-5fdbcfb8b4-bvpws                             10m          131Mi           
connector-runtime-5fdbcfb8b4-fxcp7                             10m          127Mi           
connector-runtime-5fdbcfb8b4-j9gnp                             10m          119Mi           
connector-runtime-5fdbcfb8b4-m67fc                             10m          122Mi           
connector-runtime-5fdbcfb8b4-nl2l4                             10m          136Mi           
connector-runtime-5fdbcfb8b4-pskwr                             8m           115Mi           
connector-runtime-5fdbcfb8b4-spq9x                             8m           118Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             8m           184Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  2m           68Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 8m           182Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         9m           197Mi           
workflow-service-worker-759b6bb446-khskx                       4m           192Mi           
workflow-service-worker-759b6bb446-pvwnw                       4m           223Mi           
workflow-worker-5586c8f57f-gfs6s                               8m           415Mi           
workflow-worker-5586c8f57f-jzxhp                               8m           528Mi           
workflow-worker-5586c8f57f-m8l46                               8m           524Mi           
workflow-worker-5586c8f57f-mk2p2                               8m           508Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      6m           173Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   4m           135Mi           
