NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        12m          201Mi           
loki-f494d47fc-4r5m8                            499m         511Mi           
nats-0                                          5m           69Mi            
otel-collector-7c5f854bff-9cm7x                 10m          150Mi           
postgres-0                                      4m           53Mi            
postgres-shared-1                               6m           350Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           42Mi            
postgres-temporal-1                             20m          501Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           40Mi            
postgres-temporal-visibility-1                  7m           321Mi           
postgres-usage-shared-1                         3m           112Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   1m           44Mi            
prometheus-f8c575d6-hv9ns                       18m          296Mi           
promtail-g2h5r                                  11m          89Mi            
redis-0                                         5m           7Mi             
redis-1                                         5m           8Mi             
redis-2                                         5m           8Mi             
redis-3                                         5m           8Mi             
redis-4                                         5m           12Mi            
redis-5                                         7m           8Mi             
tempo-5b7d95dd77-ksbbd                          502m         511Mi           
temporal-frontend-75cc7458d4-trdjh              4m           56Mi            
temporal-frontend-75cc7458d4-zjpnp              24m          242Mi           
temporal-history-5c9497b4b5-8k5mf               10m          603Mi           
temporal-history-5c9497b4b5-q4gg4               9m           663Mi           
temporal-matching-db68d7db9-74fwz               6m           57Mi            
temporal-matching-db68d7db9-j6cnx               6m           72Mi            
temporal-ui-6d77df47d8-v228h                    1m           20Mi            
temporal-worker-7868fc57-rhfvl                  4m           46Mi            
temporal-worker-7868fc57-vk66v                  4m           44Mi            
