NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    1m           23Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  11m          244Mi           
auth-service-00001-deployment-66f6c7f79f-l96xq                 10m          163Mi           
cache-service-00001-deployment-c745d49f5-f2zss                 8m           149Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          13m          179Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          6m           141Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          7m           153Mi           
connector-runtime-5fdbcfb8b4-49dlh                             9m           135Mi           
connector-runtime-5fdbcfb8b4-bvpws                             11m          126Mi           
connector-runtime-5fdbcfb8b4-fxcp7                             8m           122Mi           
connector-runtime-5fdbcfb8b4-nl2l4                             9m           124Mi           
connector-runtime-5fdbcfb8b4-pskwr                             11m          121Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             8m           183Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  2m           53Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 6m           180Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         10m          198Mi           
workflow-service-worker-759b6bb446-khskx                       9m           193Mi           
workflow-service-worker-759b6bb446-pvwnw                       4m           191Mi           
workflow-worker-5586c8f57f-jzxhp                               9m           527Mi           
workflow-worker-5586c8f57f-m8l46                               7m           507Mi           
workflow-worker-5586c8f57f-mk2p2                               7m           490Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      2m           182Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   5m           134Mi           
