NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        6m           239Mi           
loki-f494d47fc-4r5m8                            8m           282Mi           
nats-0                                          6m           79Mi            
otel-collector-7c5f854bff-9cm7x                 2m           111Mi           
postgres-0                                      6m           54Mi            
postgres-shared-1                               5m           349Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           44Mi            
postgres-temporal-1                             17m          537Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           42Mi            
postgres-temporal-visibility-1                  6m           326Mi           
postgres-usage-shared-1                         2m           102Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   1m           33Mi            
prometheus-f8c575d6-hv9ns                       7m           280Mi           
promtail-g2h5r                                  13m          95Mi            
redis-0                                         6m           10Mi            
redis-1                                         6m           8Mi             
redis-2                                         6m           9Mi             
redis-3                                         6m           9Mi             
redis-4                                         7m           12Mi            
redis-5                                         6m           8Mi             
tempo-5b7d95dd77-ksbbd                          9m           227Mi           
temporal-frontend-75cc7458d4-trdjh              5m           58Mi            
temporal-frontend-75cc7458d4-zjpnp              18m          227Mi           
temporal-history-5c9497b4b5-8k5mf               6m           405Mi           
temporal-history-5c9497b4b5-q4gg4               22m          333Mi           
temporal-matching-db68d7db9-74fwz               8m           73Mi            
temporal-matching-db68d7db9-j6cnx               4m           62Mi            
temporal-ui-6d77df47d8-v228h                    1m           16Mi            
temporal-worker-7868fc57-rhfvl                  4m           46Mi            
temporal-worker-7868fc57-vk66v                  4m           36Mi            
